ibliID, %0, %1, %2, avgSOS_2L, avgEOS_2L, avgSOS_2S, avgEOS_2S, sdS_SOS_2L, sdS_EOS_2L, sdS_SOS_2S, sdS_EOS_2S, sdT_SOS_2L, sdT_EOS_2L, sdT_SOS_2S, sdT_EOS_2S, avgSOS_1, avgEOS_1, sdS_SOS_1, sdS_EOS_1, sdT_SOS_1, sdT_EOS_1
1,4.08602,29.8925,66.0215,101.540,220.304,268.241,29.3554,5.83962,41.7692,42.5771,23.2688,21.4466,32.6487,42.6107,32.9783,101.060,359.908,9.10634,20.1299,35.0136,67.1366
2,3.55649,32.6360,63.8075,97.9270,239.389,284.936,32.0819,5.66352,41.4693,46.6481,16.4901,20.3478,35.6527,34.2439,29.9183,100.270,356.508,6.47753,14.0995,25.7341,67.2398
3,5.02959,24.2604,70.7101,101.234,219.426,254.821,41.2750,8.51676,45.3404,49.3900,22.0604,26.5610,33.4253,37.3819,32.3180,109.156,353.758,12.8451,31.2853,47.9670,69.4274
4,5.77428,24.1470,70.0787,101.191,221.577,261.349,30.3001,7.66052,50.4951,45.3757,30.9504,23.4392,29.3176,39.2239,34.9368,120.603,333.960,26.6570,51.0489,54.8577,75.6583
5,5.88235,36.3171,57.8005,98.2477,199.166,248.637,16.7314,6.95360,40.2661,35.4735,30.9191,24.1346,25.7932,48.1122,39.4773,115.649,316.898,16.1077,19.8220,56.2913,75.5973
6,6.72083,10.8567,82.4225,97.6943,212.126,273.283,14.7579,4.65559,33.6584,34.0768,15.0178,23.0804,38.1550,42.4134,32.8056,98.2776,348.695,10.5837,21.7891,39.1143,68.1072
7,3.50318,32.4841,64.0127,101.600,211.565,253.585,41.0106,10.0905,47.6131,38.9995,14.5702,24.7670,25.6936,47.3377,26.3438,122.722,40.4317,26.9681,34.2824,43.2774,46.3513
8,4.29448,21.4724,74.2331,95.1760,248.641,292.201,38.3657,7.85245,42.3279,43.3993,16.1006,23.2252,36.6467,31.7559,29.4913,92.4174,352.566,5.77230,13.3263,27.3272,71.5174
9,3.10644,25.7195,71.1740,98.5212,185.069,246.481,353.842,6.39728,26.4862,25.9298,24.2435,27.0136,24.5609,51.0574,49.5574,115.719,312.669,16.9943,24.5016,54.8337,73.2021
10,9.78417,47.3381,42.8777,103.350,215.276,271.173,22.5415,20.0766,43.2655,41.7538,20.4675,36.6588,32.1297,39.3034,32.7217,121.768,324.877,15.0109,26.1858,60.5149,73.1458
11,7.08885,43.1002,49.8110,93.3319,191.908,248.804,358.853,5.86582,27.4839,27.4486,16.2622,28.4883,25.6135,46.6216,47.5115,101.402,342.175,8.20927,17.9011,40.4893,65.9356
12,12.1495,13.4579,74.3925,93.6687,186.268,244.361,8.62396,6.93447,23.7022,24.5864,14.7535,28.9545,23.1152,50.7020,38.3812,106.812,362.620,15.0983,19.7545,46.8971,57.5721
13,2.71739,11.4130,85.8696,99.1001,216.753,253.743,43.2251,8.64119,41.8563,47.5364,17.9009,25.7927,34.2032,42.1623,30.4474,96.3304,3.36048,13.2494,22.0794,38.2197,64.8920
14,1.27119,21.6102,77.1186,97.5894,224.586,260.596,40.7373,5.99284,47.3224,47.6200,12.5062,26.8987,32.1164,39.7885,29.0004,102.638,363.130,9.41111,17.1981,43.3668,71.7221
15,0.000000,0.000000,100.000,98.2660,171.036,310.256,30.4879,3.60156,7.48643,6.38555,6.67674,15.5719,22.9855,23.4218,20.2430,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
16,0.000000,0.000000,100.000,100.954,170.549,315.915,25.3759,3.48651,9.03215,5.43151,8.13883,16.1160,20.8714,20.4287,17.9930,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
17,0.000000,0.000000,100.000,97.3893,182.011,302.925,31.4133,5.00359,13.3335,5.76546,6.63738,17.4432,23.7150,19.9673,15.5424,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
18,0.000000,0.000000,100.000,98.9654,178.699,312.495,28.0618,4.95547,9.10962,5.02344,6.47750,17.3162,23.4092,17.2001,18.0728,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
19,0.000000,0.0546001,99.9454,101.177,159.916,310.041,14.9749,6.82199,9.11390,7.91871,8.48898,15.2747,23.0257,24.9138,23.3522,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
20,0.000000,0.000000,100.000,97.7768,173.212,310.661,29.2332,3.88789,6.72766,5.07041,6.81663,15.3267,21.5185,20.4290,19.7232,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
21,0.000000,0.000000,100.000,99.4480,166.916,307.089,18.0994,4.75799,8.33637,6.20125,7.65666,15.6301,22.9099,21.5591,20.1603,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
22,0.000000,0.000000,100.000,99.6328,176.007,299.287,22.5595,3.03248,6.32545,5.35041,7.39848,14.7851,20.4317,20.1675,19.5006,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
23,0.000000,0.000000,100.000,100.947,165.386,311.804,23.2869,3.92196,10.6435,6.42575,8.30386,15.5463,22.4121,22.2013,19.4521,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
24,0.000000,0.000000,100.000,99.6398,169.277,309.338,28.8836,3.24301,7.44271,5.44500,6.96148,15.3696,21.7053,19.7498,21.0902,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
25,0.000000,0.000000,100.000,97.3443,180.828,300.824,28.7931,3.77934,13.7453,6.92942,8.64031,14.7353,22.1855,19.6345,16.6625,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
26,0.000000,2.03804,97.9620,98.0890,243.959,298.941,46.9831,6.07154,19.6616,5.66258,6.96152,19.0092,26.8912,23.0638,14.4410,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
27,0.000000,0.000000,100.000,98.0759,231.411,299.394,41.9744,5.66669,18.0541,4.03998,5.49677,21.6625,25.4937,20.9562,13.6074,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
28,0.000000,0.000000,100.000,96.6155,214.562,301.412,39.1153,6.99191,19.6135,5.26248,8.38342,23.1448,30.5450,19.7472,15.0457,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
29,0.000000,0.000000,100.000,98.3940,238.186,299.461,44.3571,6.89661,22.2976,4.38500,7.08164,23.1817,26.4423,21.4571,14.1777,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
30,0.000000,0.000000,100.000,95.6987,160.738,308.247,20.2163,6.57494,5.55574,6.60238,8.28982,18.0892,17.9104,19.8470,21.4480,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
31,0.000000,0.000000,100.000,97.7848,162.413,308.715,17.8719,3.70144,8.87823,4.64514,8.27266,15.2748,19.6060,16.8181,19.2673,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
32,0.000000,0.000000,100.000,96.3680,162.451,308.871,22.7729,3.26842,6.13822,3.50051,6.63316,17.0372,17.9430,13.8681,20.9403,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
33,0.280702,0.210526,99.5088,105.281,158.516,316.099,13.5807,6.34220,10.8822,9.90926,9.34889,14.3256,19.8168,27.9059,23.7634,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
34,0.000000,0.000000,100.000,104.920,163.458,315.565,18.0495,5.80007,12.3160,8.41946,10.4631,15.8049,22.8873,23.4541,22.5156,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
35,0.000000,0.000000,100.000,93.1738,169.919,301.979,21.4537,5.93810,12.3778,9.26337,9.71894,22.4520,29.1811,23.1567,24.7560,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
36,0.000000,0.000000,100.000,104.450,168.323,298.309,5.78397,3.13086,6.15731,5.12056,6.54182,19.4448,19.1172,19.4572,22.4697,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
37,0.000000,0.000000,100.000,105.414,168.502,293.686,7.37799,2.86063,4.95309,6.06909,5.86249,19.1357,20.3228,23.5270,25.1573,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
38,0.000000,0.000000,100.000,107.982,177.333,305.509,11.0542,7.08557,16.7960,6.71616,15.3628,23.0750,27.4867,20.9045,26.6366,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
39,0.000000,0.000000,100.000,106.928,160.666,299.099,2.51996,3.87857,5.21747,6.04070,5.02654,17.8098,16.0093,22.4791,20.4280,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
40,0.000000,0.000000,100.000,101.137,161.086,300.407,1.04610,3.80521,6.16188,5.18136,5.38659,20.7648,16.5889,20.3633,21.2400,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
41,1.37931,0.000000,98.6207,105.127,175.368,300.606,3.26431,4.97251,19.8122,5.66910,13.5272,21.0451,20.8379,15.8086,20.2955,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
42,0.000000,0.000000,100.000,104.471,166.643,302.720,2.77303,3.04756,6.90998,5.17427,6.41845,21.3798,18.9716,19.0563,23.9071,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
43,0.000000,0.000000,100.000,106.773,167.915,294.095,5.23186,2.43658,3.57385,5.18952,4.70629,18.7617,17.2742,19.3136,21.0558,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
44,0.000000,0.000000,100.000,105.480,169.924,297.884,8.22516,3.15634,7.74285,5.79654,6.86844,19.2386,21.2099,20.9053,25.6256,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
45,0.000000,0.000000,100.000,105.092,168.622,301.161,5.22897,3.21733,6.91926,4.38414,6.87893,20.1025,19.5863,17.0749,20.8280,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
46,0.000000,0.000000,100.000,106.130,159.822,293.738,2.00053,3.45921,4.86618,6.34193,5.23750,18.4919,15.6739,26.6931,24.5938,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
47,0.000000,0.000000,100.000,103.934,164.283,298.736,3.16796,3.19169,4.78687,4.36359,4.85358,20.4310,16.3340,17.6423,21.6761,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
48,0.000000,0.000000,100.000,107.918,170.701,299.522,12.3966,3.72084,8.46597,6.66315,9.25870,16.3473,19.1864,23.0845,22.2320,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
49,0.000000,0.000000,100.000,107.813,165.678,294.926,8.57995,4.09152,8.52589,7.54925,9.17883,15.7766,18.0550,25.9055,25.2161,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
50,0.000000,0.000000,100.000,105.630,168.317,296.986,1.72762,2.53453,7.79342,4.51949,7.16335,19.9872,17.2053,16.2985,19.1712,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
51,0.000000,0.000000,100.000,103.731,158.182,296.026,1.23563,3.63057,3.62666,6.62338,4.50403,19.9022,14.8053,24.5714,20.7875,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
52,0.000000,0.000000,100.000,105.326,168.412,302.381,3.36697,6.15668,13.3005,6.23767,12.4099,22.9095,21.0439,22.7514,24.2880,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
53,0.000000,0.000000,100.000,105.438,170.120,299.072,9.46242,3.43015,9.31510,7.33352,9.38704,18.9928,22.1295,22.1681,25.5269,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
60,0.000000,0.000000,100.000,105.932,176.499,291.545,11.3060,5.68619,9.21879,5.76444,6.67404,17.6357,22.5246,25.5270,26.7039,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
61,0.000000,0.000000,100.000,105.060,169.262,297.288,12.4508,5.16928,8.37491,7.58979,8.22681,17.2237,20.6775,25.2662,26.2946,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
62,0.000000,0.000000,100.000,105.479,163.554,303.771,16.4694,5.03732,7.66037,10.3875,8.53484,17.5306,20.6502,30.2088,27.5521,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
63,0.000000,0.000000,100.000,106.236,167.631,297.005,13.1643,5.65071,8.98272,9.13040,8.38844,17.2419,21.7388,29.4021,28.5161,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
64,2.21519,5.62317,92.1616,97.6012,187.210,298.355,14.5812,9.51328,22.1032,25.6616,23.4543,29.0719,34.5542,34.4133,32.0862,114.643,275.998,22.6487,30.6530,68.5330,83.2395
65,0.000000,0.000000,100.000,96.7252,160.647,308.183,17.9734,5.10492,5.86335,6.72810,6.01258,19.5182,18.1526,19.2466,21.8121,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
66,0.0573723,0.764965,99.1777,94.7768,177.428,302.247,25.2999,6.53703,20.2680,8.72077,17.9932,21.1084,24.3404,22.1847,23.6370,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
67,6.95387,3.18860,89.8575,100.691,188.297,304.588,24.1207,11.8967,16.2443,17.4381,18.7814,32.2230,35.3563,29.7709,28.4395,111.734,184.344,148.718,27.3367,51.5230,43.1497
68,1.45138,18.2148,80.3338,103.192,214.142,292.216,30.4352,12.6825,36.2545,25.6533,16.0701,31.1440,39.7815,28.1813,25.1117,127.459,359.951,44.2304,67.6488,52.9654,62.3964
69,1.24481,24.1796,74.5756,94.9790,201.003,277.705,28.9093,11.2682,29.3469,31.7175,18.7983,26.1141,33.1500,35.2096,26.7300,114.945,1.14487,39.7191,52.2132,49.4205,60.3450
70,0.000000,0.0328515,99.9671,94.1538,171.385,316.858,28.3752,5.90517,12.7440,5.89376,7.85829,20.6477,27.5553,20.6987,24.5284,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
71,0.000000,0.000000,100.000,98.6280,167.572,310.382,25.3822,4.09170,12.1110,5.01829,8.66159,15.8021,22.3107,16.5749,20.8930,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
